customer_id,first_name,last_name,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,sex,age
48,Rebbecca,Casone,46,1975-08-15,Biostatistician II,,Mass Customer,N,Yes,8.0,F,41
49,Nolly,Ownsworth,63,1994-01-26,VP Quality Control,,Affluent Customer,N,No,1.0,M,22
50,Whitby,Schapero,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,M,36
51,Fidelio,Dilke,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,M,57
52,Curran,Bentson,57,1988-06-22,,Financial Services,Mass Customer,N,Yes,13.0,M,28
53,Agnella,Gocke,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,F,62
54,Loralyn,Wonfor,2,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18.0,F,50
55,Linc,Jillions,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,M,60
56,Reese,Ensor,44,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4.0,M,20
57,Abba,Masedon,87,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13.0,M,28
58,Dalenna,Pinnock,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0,F,49
59,Niki,Heathcote,60,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,No,3.0,M,16
60,Nadiya,Champerlen,18,1970-02-04,,Manufacturing,Mass Customer,N,No,10.0,F,46
61,Kacey,Rowbottom,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13.0,F,57
62,Sorcha,Roggers,38,1979-07-06,,IT,Mass Customer,N,Yes,22.0,F,37
63,Ebony,Zini,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,F,51
64,Gerek,Yve,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4.0,M,38
65,Yale,Tanser,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0,M,40
66,Anselm,Gawne,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1.0,M,14
67,Vernon,,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18.0,M,56
68,Dahlia,Eddoes,37,1974-04-21,Information Systems Manager,,Affluent Customer,N,No,9.0,F,42
69,Heidi,Milner,16,1969-06-22,Web Developer II,,Mass Customer,N,No,6.0,F,47
70,Foster,Vannoort,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8.0,M,23
71,Hoyt,Glavias,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0,M,31
72,Sammy,Cheese,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0,M,44
73,Minette,Worters,16,1960-05-27,Teacher,,Affluent Customer,N,Yes,5.0,F,56
74,Pansy,Kiddie,94,1969-06-19,,,Mass Customer,N,Yes,6.0,F,47
75,Dollie,Sealy,28,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,F,38
76,Rea,Hasser,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,F,38
77,Shermie,Andrin,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0,M,27
78,Arch,Van der Kruis,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0,M,31
79,Tybi,Silliman,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18.0,F,48
80,Pablo,Small,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13.0,M,38
81,Bee,Blazewicz,58,1986-09-04,,Health,High Net Worth,N,No,13.0,F,30
82,Gleda,Cokely,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19.0,F,51
83,Kerr,Simmell,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18.0,M,49
84,Rich,Mathiasen,78,1958-02-07,Accountant III,,Mass Customer,N,Yes,14.0,M,58
85,Kane,Tixall,1,1958-05-21,Analyst Programmer,,Mass Customer,N,No,8.0,M,58
86,Job,Sleney,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,M,27
87,Fields,Langdon,78,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8.0,M,42
88,Malynda,Tumber,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,F,50
89,Benedicto,Hoxey,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,M,49
90,Cary,Garron,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,M,32
91,Dylan,Meaker,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,M,61
92,Jodee,Judkins,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12.0,F,36
93,Gordon,Gowar,63,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10.0,M,40
94,Wallache,Simchenko,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0,M,42
95,Nomi,Mallinder,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0,F,56
96,Heath,Olford,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0,M,48
97,Arne,Corain,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0,M,37
98,Allianora,Babalola,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7.0,F,60
99,Reggie,Mulliner,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0,M,18
100,Tripp,Steed,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0,M,48
101,Goran,Kwietek,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0,M,41
102,Langsdon,Tranfield,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,M,60
103,Ethyl,Runham,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0,F,19
104,Odille,Panketh,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0,F,38
105,Maribeth,Pristnor,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0,F,15
106,Glyn,,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0,M,50
107,Pris,Stallebrass,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0,F,26
108,Kayle,Mingaud,4,1994-03-14,,,High Net Worth,N,No,3.0,F,22
109,Cody,Blabey,16,1978-12-11,Marketing Assistant,,Affluent Customer,N,Yes,4.0,M,38
110,Sascha,St. Quintin,23,2000-07-31,,Financial Services,Affluent Customer,N,No,1.0,M,16
111,Cele,Evason,65,1993-08-29,Analyst Programmer,,Mass Customer,N,No,2.0,F,23
112,Shena,Parren,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12.0,F,41
113,Gage,Nickless,67,1956-05-06,Staff Scientist,,Mass Customer,N,No,20.0,M,60
114,Sunny,Swindells,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8.0,F,31
115,Alberik,Mereweather,77,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0,M,35
116,Scottie,Swiffen,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0,M,17
117,Nance,Suttling,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,F,34
118,Prentice,Pearmain,43,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,N,No,19.0,M,57
119,Willey,Chastanet,9,1981-12-04,Associate Professor,,High Net Worth,N,Yes,9.0,M,35
120,Sloan,Wagg,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0,M,38
121,Myles,Pauncefort,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0,M,59
122,Colver,Itter,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0,M,37
123,Almeta,Kalinsky,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0,F,28
124,Kath,Cunney,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0,F,21
125,Darrelle,Antoniewski,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0,F,56
126,Norman,Cliff,53,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3.0,M,24
127,Merrili,Whitear,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0,F,42
128,Isidro,Cypler,73,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12.0,M,39
129,Weidar,Silkstone,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0,M,31
130,Raddy,Delete,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0,M,19
131,Jana,Renyard,57,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8.0,F,52
132,Celesta,Willavoys,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0,F,53
133,Eldridge,Fiddeman,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0,M,39
134,Merna,McCulloch,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0,F,19
135,Rosalia,Sigart,18,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3.0,F,41
136,Mel,Bennet,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0,M,43
137,Vaughn,Artin,27,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,10.0,M,29
138,Onofredo,Franc,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0,M,31
139,Gar,,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4.0,M,52
140,Morrie,Flaxon,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0,M,22
141,Townsend,Trobe,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10.0,M,62
142,Bentley,Fortesquieu,57,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17.0,M,49
143,Kendall,Figg,19,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11.0,M,59
144,Jory,Barrabeale,71,,Environmental Tech,IT,Mass Customer,N,No,,U,
145,Filippo,Ferrara,33,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4.0,M,19
146,Ricoriki,Matlock,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0,M,31
147,Rea,Pattrick,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0,F,43
148,Jaquith,Maffey,69,1981-05-08,Programmer Analyst III,,Mass Customer,N,Yes,5.0,F,35
149,Drucy,Kausche,41,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1.0,F,21
150,Bradly,Crosse,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0,M,33
151,Donnie,Brimson,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0,M,51
152,Stephana,Cardew,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0,F,35
153,Lorilyn,Walshe,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0,F,39
154,Faydra,Dulieu,90,1958-02-13,Junior Executive,,Mass Customer,N,No,11.0,F,58
155,Orran,Bogges,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0,M,31
156,Shayla,Rimmington,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0,F,37
157,Chad,Houtby,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0,M,42
158,Hamlin,Odams,99,1984-09-03,Internal Auditor,,Affluent Customer,N,No,5.0,M,32
159,Arin,Matskevich,90,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,13.0,M,29
160,Wake,Durning,5,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,18.0,M,52
161,Tadd,Bloss,49,1976-01-21,,,Mass Customer,N,No,16.0,M,40
162,Port,Acuna,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,15.0,M,37
163,Kessia,Helder,58,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,14.0,F,40
164,Aarika,Van Vuuren,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1.0,F,17
165,Aldon,Roelofs,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,M,32
166,Elston,Oleszczak,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0,M,61
167,Nathalie,Tideswell,95,1969-10-27,,Health,High Net Worth,N,Yes,17.0,F,47
168,Reggie,Broggetti,8,,General Manager,IT,Affluent Customer,N,Yes,,U,
169,Alfy,Bruhnke,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0,M,59
170,Jammal,Gever,80,1975-06-02,Pharmacist,Health,High Net Worth,N,No,21.0,M,41
171,Halli,Davidoff,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0,F,46
172,Hilton,Carney,54,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6.0,M,28
173,Ebba,Hanselmann,99,1997-01-02,General Manager,Health,Affluent Customer,N,No,1.0,F,19
174,Catie,Tosspell,93,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12.0,F,27
175,Templeton,Hambrook,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,5.0,M,41
176,Angelo,Clayal,39,1992-04-13,Accountant I,Property,Mass Customer,N,No,10.0,M,24
177,Ondrea,Pablos,25,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4.0,F,27
178,Matthieu,Bertelmot,2,1967-04-03,,,Affluent Customer,N,No,8.0,M,49
179,Esteban,Sewill,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6.0,M,50
180,Trisha,Neasham,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14.0,F,45
181,Pavla,Braunle,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,9.0,F,34
182,Lydon,Dahlman,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0,M,24
183,Dannie,Hissie,7,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,3.0,F,19
184,Nappie,Paolo,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0,M,45
185,Crosby,Walcot,80,1979-12-13,,Property,Mass Customer,N,Yes,13.0,M,37
186,Mireielle,Jeppe,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,3.0,F,42
187,Pincas,Ather,97,1954-01-28,Structural Engineer,,Mass Customer,N,No,11.0,M,62
188,Audry,Seine,54,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,13.0,F,41
189,Umberto,Torricella,73,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,10.0,M,35
190,Hayley,Girardengo,42,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,10.0,F,37
191,Christopher,Heining,22,1960-04-27,Help Desk Operator,,Affluent Customer,N,Yes,6.0,M,56
192,Goldi,Osler,2,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,8.0,F,38
193,Foss,Hardes,13,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12.0,M,52
194,Ursala,Ferrai,4,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,10.0,F,42
195,Talyah,Rylatt,34,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,6.0,F,58
196,Swen,Odhams,90,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6.0,M,50
197,Avis,,32,1977-01-27,,,High Net Worth,N,No,5.0,F,39
198,Vanya,Gumb,82,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,16.0,F,35
199,Verla,Alven,61,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,21.0,F,38
200,Hube,Weald,7,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0,M,59
201,Salem,Huie,45,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0,M,50
202,Audie,Pillinger,38,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,16.0,F,53
203,Donovan,Conry,71,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11.0,M,52
204,Thorny,Hackworth,56,1976-10-01,Editor,Financial Services,Mass Customer,N,No,5.0,M,40
205,Rolfe,Kellard,18,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6.0,M,58
206,Mari,Chevolleau,98,1954-07-19,Statistician I,,Mass Customer,N,Yes,14.0,F,62
207,Adena,Whyman,9,1994-08-10,,,Mass Customer,N,No,7.0,F,22
208,Rutter,Excell,57,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,5.0,M,22
209,Udall,Bellard,9,1957-08-28,Analog Circuit Design manager,,Affluent Customer,N,Yes,6.0,M,59
210,Albrecht,Thomasson,50,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,18.0,M,53
211,Beitris,,6,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,5.0,F,42
212,Nanice,Ellse,21,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,1.0,F,15
213,Lockwood,Exroll,13,1996-05-14,Actuary,Financial Services,High Net Worth,N,Yes,6.0,M,20
214,Jeramie,Cellier,82,1957-11-29,Food Chemist,Health,Mass Customer,N,No,6.0,M,59
215,Debera,Foxworthy,37,1974-06-24,Assistant Professor,Retail,High Net Worth,N,Yes,18.0,F,42
216,Cinderella,Parcall,12,1995-01-12,Quality Engineer,Financial Services,High Net Worth,N,Yes,7.0,F,21
217,Jeralee,Quartly,63,1979-12-09,,Manufacturing,High Net Worth,N,No,16.0,F,37
218,Stefa,Dunnan,37,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,8.0,F,23
219,Markus,Mughal,9,1964-11-25,Database Administrator III,Health,Mass Customer,N,No,7.0,M,52
220,Jeniffer,Apark,79,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0,F,62
221,Mara,Bloore,14,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,N,No,14.0,F,36
222,Nev,Larive,89,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,16.0,M,38
223,Ossie,Meaton,13,1983-11-26,VP Sales,,Affluent Customer,N,Yes,14.0,M,33
224,Morgun,Girvan,2,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,N,No,17.0,M,49
225,Brittaney,Pring,84,1977-03-11,Pharmacist,Health,Affluent Customer,N,No,13.0,F,39
226,Bondie,Letty,96,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,20.0,M,39
227,Wendall,McKeand,99,1973-08-14,Accountant I,Entertainment,Mass Customer,N,No,18.0,M,43
228,Lucia,Pickervance,59,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,N,No,12.0,F,30
229,Vaughn,Lambis,30,1966-03-06,,Property,High Net Worth,N,No,19.0,M,50
230,Maegan,Scyone,74,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,11.0,F,62
231,Basile,Winsor,48,1995-08-05,Design Engineer,Financial Services,Mass Customer,N,Yes,3.0,M,21
232,Zaria,Koeppke,94,1987-11-11,Professor,Retail,Mass Customer,N,No,12.0,F,29
233,Art,Barwell,34,1986-08-08,Environmental Tech,Property,Mass Customer,N,No,13.0,M,30
234,Mead,Alpes,71,1969-08-12,Chief Design Engineer,Retail,High Net Worth,N,No,12.0,F,47
235,Leona,Phateplace,30,1976-12-26,Social Worker,Health,Mass Customer,N,No,15.0,F,40
236,Tybalt,Gillingwater,79,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,14.0,M,62
237,Reginald,Dartan,18,1974-03-07,Account Coordinator,Property,High Net Worth,N,Yes,11.0,M,42
238,Max,Bilborough,54,1984-02-04,Programmer III,,Mass Customer,N,Yes,14.0,M,32
239,Wells,Pressman,62,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,3.0,M,24
240,Gavin,Fawks,49,1989-07-28,Administrative Assistant III,IT,High Net Worth,N,Yes,15.0,M,27
241,Quillan,Duigan,94,1987-05-09,Quality Engineer,Entertainment,Mass Customer,N,No,20.0,M,29
242,Taite,Droghan,17,1992-03-20,Nurse,Property,Affluent Customer,N,No,8.0,M,24
243,Barbara,Croxley,94,1976-09-02,Teacher,Manufacturing,High Net Worth,N,Yes,14.0,F,40
244,Germayne,Sperry,57,1974-11-25,,Retail,Affluent Customer,N,No,8.0,M,42
245,Noell,Grahlmans,6,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,1.0,F,15
246,Binny,Whight,63,1991-02-28,Technical Writer,Manufacturing,High Net Worth,N,No,9.0,F,25
247,Kristal,Joysey,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,F,33
248,Inger,Eskell,76,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0,F,38
249,D'arcy,Slay,65,1992-09-13,Quality Control Specialist,IT,High Net Worth,N,No,9.0,M,24
250,Kristofer,,53,1988-04-15,Legal Assistant,Health,Mass Customer,N,Yes,13.0,M,28
251,Mala,,88,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,10.0,F,39
252,Anthea,Ruskin,39,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,13.0,F,33
253,Amalee,Choak,82,1997-05-11,Food Chemist,Health,Mass Customer,N,Yes,1.0,F,19
254,Barbie,Rubi,98,1961-09-22,Information Systems Manager,Retail,Mass Customer,N,No,14.0,F,55
255,Keeley,Kruger,2,1954-01-15,Desktop Support Technician,IT,Mass Customer,N,No,5.0,F,62
256,Linell,Beadle,16,1975-05-07,Director of Sales,Health,High Net Worth,N,Yes,21.0,F,41
257,Marissa,,70,1966-02-08,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19.0,F,50
258,Othella,Keher,24,1992-05-03,Administrative Officer,Manufacturing,High Net Worth,N,No,9.0,F,24
259,Venita,Dymick,70,1983-07-22,Senior Developer,Health,High Net Worth,N,Yes,3.0,F,33
260,Farand,Marriner,47,1979-08-30,Senior Quality Engineer,Health,High Net Worth,N,Yes,22.0,F,37
261,Marve,Pryn,74,1977-10-15,Structural Engineer,,Mass Customer,N,No,8.0,M,39
262,Cordie,Petrelli,97,1977-12-23,,Health,High Net Worth,N,Yes,10.0,M,39
